Apartment Name,Address,Rent,Features,Appliances,Dogs Policy,Cats Policy,Large Dogs Policy,Small Dogs Policy,Pets Allowed,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3
42-10 27th St,N/A,N/A,Apartment buildingStudio-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
150 W 51st St,N/A,N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,Ps 111 Adolph S Ochs,PK-5,4,Middle 297,6-8,4,Jacqueline Kennedy-Onassis High School,9-12,4
"33-03 Parsons Blvd #2, Flushing, NY 11354","33-03 Parsons Blvd #2, Flushing, NY 11354","$2,300/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"536 W 143rd St #29, New York, NY 10031","536 W 143rd St #29, New York, NY 10031","$2,185/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"15 Stanton St #4AC, New York, NY 10002","15 Stanton St #4AC, New York, NY 10002","$3,499/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"2610 University Ave #S2, Bronx, NY 10468","2610 University Ave #S2, Bronx, NY 10468","$1,800/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"1609 Ocean Ave APT 1B, Brooklyn, NY 11230","1609 Ocean Ave APT 1B, Brooklyn, NY 11230","$1,685/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"1050 Bedford Ave #3A, Brooklyn, NY 11205","1050 Bedford Ave #3A, Brooklyn, NY 11205","$3,135/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesDogs OKCentral airIn unit laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"171 Metropolitan Ave #1F, Brooklyn, NY 11249","171 Metropolitan Ave #1F, Brooklyn, NY 11249","$3,450/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
2395 Palisade Ave,N/A,N/A,Apartment buildingStudio-19 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"414 Bainbridge St #1, Brooklyn, NY 11233","414 Bainbridge St #1, Brooklyn, NY 11233","$2,800/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CIn unit laundry + 1-- ParkingFireplace,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"215 E 89th St APT B, New York, NY 10128","215 E 89th St APT B, New York, NY 10128","$2,395/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"1368 York Ave #A3, New York, NY 10021","1368 York Ave #A3, New York, NY 10021","$2,750/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"250 E 63rd St #8E, New York, NY 10065","250 E 63rd St #8E, New York, NY 10065","$4,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"301 W 45th St APT 4K, New York, NY 10036","301 W 45th St APT 4K, New York, NY 10036","$3,995/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"234 E 106th St #4A1, New York, NY 10029","234 E 106th St #4A1, New York, NY 10029","$2,300/mo","ApartmentAvailable Thu Oct 10 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"2119 21st St #2F, Astoria, NY 11105","2119 21st St #2F, Astoria, NY 11105","$2,100/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"2117 22nd Rd APT 1, Astoria, NY 11105","2117 22nd Rd APT 1, Astoria, NY 11105","$2,400/mo",ApartmentAvailable Tue Oct 15 2024-- One-time fees-- Pets-- A/CIn unit laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"819 Lexington Ave #4A, Brooklyn, NY 11221","819 Lexington Ave #4A, Brooklyn, NY 11221","$2,975/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"41-41 43rd St #E7, Sunnyside, NY 11104","41-41 43rd St #E7, Sunnyside, NY 11104","$2,900/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
229 W 60th St,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","$2,000/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
11 Cooper St,N/A,N/A,Apartment building1 bed,Dishwasher,N/A,N/A,N/A,N/A,N/A,Ps 98 Shorac Kappock,PK-5,5,Harold O Levy School,6-8,3,High School For Excellence And Innovation,9-12,2
3 Court Sq,N/A,N/A,Apartment buildingStudio-4 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"74 Palmetto St #2F, Brooklyn, NY 11221","74 Palmetto St #2F, Brooklyn, NY 11221","$2,850/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"15 Cooper St #1B, Brooklyn, NY 11207","15 Cooper St #1B, Brooklyn, NY 11207","$2,500/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"509 Van Buren St #3R, Brooklyn, NY 11221","509 Van Buren St #3R, Brooklyn, NY 11221","$2,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"9745 Queens Blvd APT 1201, Rego Park, NY 11374","9745 Queens Blvd APT 1201, Rego Park, NY 11374","$2,945/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- LaundryGarage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"2-26 50th Ave #3C, Long Island City, NY 11101","2-26 50th Ave #3C, Long Island City, NY 11101","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"367 S 5th St #1D, Brooklyn, NY 11211","367 S 5th St #1D, Brooklyn, NY 11211","$2,499/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"75 W End Ave #S15J, New York, NY 10023","75 W End Ave #S15J, New York, NY 10023","$4,750/mo","ApartmentAvailable Sat Oct 12 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Garage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
44 Euclid Ave,N/A,N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,Ps 65,PK-5,7,Is 171 Abraham Lincoln,6-8,4,Brooklyn Lab School,9-12,4
"2816 41st St #1, Astoria, NY 11103","2816 41st St #1, Astoria, NY 11103","$3,650/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"217 Eckford St #402, Brooklyn, NY 11222","217 Eckford St #402, Brooklyn, NY 11222","$4,700/mo",ApartmentAvailable Tue Oct 15 2024-- One-time fees-- PetsCentral airShared laundryGarage parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
647 4th Ave,N/A,N/A,Apartment building1-2 beds,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
11 Ocean Pkwy,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"240 Waverly Pl APT 23, New York, NY 10014","240 Waverly Pl APT 23, New York, NY 10014","$5,350/mo",ApartmentAvailable Now-- One-time feesNo pets-- A/CShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,,
"550 10th Ave #1510, New York, NY 10018","550 10th Ave #1510, New York, NY 10018","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"60 Water St APT 1603, Brooklyn, NY 11201","60 Water St APT 1603, Brooklyn, NY 11201","$5,495/mo","ApartmentAvailable Wed Oct 23 2024-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"460 W 24th St APT 8F, New York, NY 10011","460 W 24th St APT 8F, New York, NY 10011","$5,895/mo","ApartmentAvailable Sat Nov 9 2024-- One-time feesCats, dogs OK-- A/C-- LaundryGarage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"141-40 Pershing Cres #4, Jamaica, NY 11435","141-40 Pershing Cres #4, Jamaica, NY 11435","$2,000/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
5015 39th St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ps 199 Maurice A Fitzgerald,PK-5,5,Is 125 Thomas J Mccann Woodside,6-8,7,Queens Technical High School,9-12,4
"152-09 88th Ave #522, Jamaica, NY 11432","152-09 88th Ave #522, Jamaica, NY 11432","$2,700/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
400 E 74th St,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"513 E 82nd St APT 1D, New York, NY 10028","513 E 82nd St APT 1D, New York, NY 10028","$3,000/mo","ApartmentAvailable Wed Nov 6 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
554 54th St New York NY,N/A,N/A,Apartment building1-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 111 Adolph S Ochs,PK-5,4,Middle 297,6-8,4,Independence High School,9-12,4
"40-22 College Point Blvd #10C, Flushing, NY 11354","40-22 College Point Blvd #10C, Flushing, NY 11354","$3,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Valet parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
Park Towers South,"315 W 57th St, New York, NY 10019",N/A,N/A,N/A,Not allowed,Not allowed,N/A,N/A,N/A,,,,,,,,,
Liberty Court,"200 Rector Pl, New York, NY 10280",N/A,Apartment buildingStudio-5 beds,Dishwasher,N/A,N/A,N/A,N/A,N/A,Middle 297,6-8,4,Battery Park City School,PK-8,9,Leadership And Public Service High School,9-12,5
"885 6th Ave #24H, New York, NY 10001","885 6th Ave #24H, New York, NY 10001","$5,595/mo",ApartmentAvailable Sat Nov 9 2024-- One-time fees-- PetsCentral airIn unit laundry + 1Garage parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"497 Saint Marks Ave APT 6E, Brooklyn, NY 11238","497 Saint Marks Ave APT 6E, Brooklyn, NY 11238","$3,190/mo",ApartmentAvailable Tue Oct 15 2024-- One-time feesCats OKCentral airShared laundryGarage parking-- Heating,N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
1054 Bergen St,N/A,N/A,Apartment building1-3 beds,N/A,N/A,N/A,N/A,N/A,N/A,Brooklyn Arts and Science Elementary School,PK-5,4,The School Of Integrated Learning,6-8,7,W E B Dubois Academic High School,9-12,NA
"3203 Nostrand Ave APT 2A, Brooklyn, NY 11229","3203 Nostrand Ave APT 2A, Brooklyn, NY 11229","$2,199/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"228 W 71st St APT 4G, New York, NY 10023","228 W 71st St APT 4G, New York, NY 10023","$3,924/mo","ApartmentAvailable Fri Jan 3 2025-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"671 Bushwick Ave #2G, Brooklyn, NY 11221","671 Bushwick Ave #2G, Brooklyn, NY 11221","$2,750/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"13105 40th Rd APT 11G, Flushing, NY 11354","13105 40th Rd APT 11G, Flushing, NY 11354","$3,300/mo",ApartmentAvailable Fri Nov 1 2024-- One-time fees-- PetsCentral airIn unit laundry + 1Garage parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"303 10th Ave APT 3E, New York, NY 10001","303 10th Ave APT 3E, New York, NY 10001","$4,995/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"244 W 72nd St APT 8B, New York, NY 10023","244 W 72nd St APT 8B, New York, NY 10023","$3,750/mo",ApartmentAvailable Mon Nov 11 2024-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"105 Conselyea St #A, Brooklyn, NY 11211","105 Conselyea St #A, Brooklyn, NY 11211","$3,200/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
55 Wall St,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Peck Slip School (The),PK-5,8,Jhs 104 Simon Baruch,6-8,7,Millennium High School,9-12,8
"333 E 43rd St #615, New York, NY 10017","333 E 43rd St #615, New York, NY 10017","$3,750/mo","ApartmentAvailable Sun Dec 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
10 Halletts Point,N/A,N/A,Apartment buildingStudio-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
151-155 E 31st St,N/A,N/A,Apartment buildingStudio-3 beds,Dishwasher,N/A,N/A,N/A,N/A,N/A,Ps 116 Mary Lindley Murray,PK-5,7,Jhs 104 Simon Baruch,6-8,7,Unity Center For Urban Technologies,9-12,8
"1838 2nd Ave #2A, New York, NY 10128","1838 2nd Ave #2A, New York, NY 10128","$3,645/mo",ApartmentAvailable Mon Dec 9 2024-- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
645 59th St,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Union Square South,"1 Union Square S, New York, NY 10003",N/A,N/A,"Dishwasher, Freezer, Oven, Range, Refrigerator",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Claridge House,"201 E 87th St, Manhattan, NY 10128",N/A,Apartment buildingStudio-4 bedsPet-friendlyOther parking + 2Air conditioning (central)In-unit dryer + 2,"Dishwasher, Dryer, Washer","Allowed, Cats/Small Dogs Allowed","Allowed, Cats/Small Dogs Allowed",N/A,N/A,N/A,,,,,,,,,
W Downtown Hotel & Residences,"123 Washington St, New York, NY 10006",N/A,Apartment buildingStudio-24 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
77 Charlton St,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 3 Charrette School,PK-5,7,Middle 297,6-8,4,High School 560 City As School,9-12,4
"79 W 12th St APT 6F, New York, NY 10011","79 W 12th St APT 6F, New York, NY 10011","$7,500/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"262 Prospect Park W #2R, Brooklyn, NY 11215","262 Prospect Park W #2R, Brooklyn, NY 11215","$2,700/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesNo pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,,
"105 Norfolk St APT 10C, New York, NY 10002","105 Norfolk St APT 10C, New York, NY 10002","$5,750/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
620 42nd St,N/A,N/A,Apartment buildingStudio-2 beds,Dishwasher,N/A,N/A,N/A,N/A,N/A,P.S. 51 Elias Howe,PK-5,7,Middle 297,6-8,4,High School Of Hospitality Management,9-12,3
"577 3rd Ave #6B, Brooklyn, NY 11215","577 3rd Ave #6B, Brooklyn, NY 11215","$3,499/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airIn unit laundryGarage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"1 Dutch St APT 7A, New York, NY 10038","1 Dutch St APT 7A, New York, NY 10038","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
301 W 110th St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
173 Knickerbocker Ave,N/A,N/A,Apartment buildingStudio-2 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 145 Andrew Jackson,PK-5,5,Is 347 School Of Humanities,6-8,4,Bushwick Leaders High School For Academic Excellence,9-12,2
The Westminster,"180 W 20th St, Manhattan, NY 10011",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"500 18th St #17B, New York, NY 10011","500 18th St #17B, New York, NY 10011","$13,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
1087 Flushing Ave,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
360 W 34th St,N/A,N/A,Apartment buildingStudio-3 beds,Dishwasher,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"1004 Fulton St #2B, Brooklyn, NY 11238","1004 Fulton St #2B, Brooklyn, NY 11238","$3,595/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"222 W 83rd St #10H, New York, NY 10024","222 W 83rd St #10H, New York, NY 10024","$4,395/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
"1595 Lexington Ave APT 5G, New York, NY 10029","1595 Lexington Ave APT 5G, New York, NY 10029","$3,400/mo",ApartmentAvailable Now-- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
912 Broadway,N/A,N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
